artist,genre
Myke Forte,abstract beats
Zayde Wølf,modern alternative rock
We Banjo 3,irish banjo
Waka Flocka Flame,rap
Joe Nichols,country
Ìxtahuele,exotica
Matt Redman,worship
Loud Luxury Featuring Brando,pop
SPIRIT DESCENT,epic doom
Chris Brown Featuring Lil Wayne & Swizz Beatz,pop
Genetic Control,canadian hardcore
Destruction,metal
Fetty Wap,rap
Boudewijn de Groot,dutch pop
Xavier Cugat,cha-cha-cha
Nicki Minaj,pop
Far*East Movement Featuring Ryan Tedder,asian american hip hop
Blastromen,finnish electro
Rosewood Bape,boston hip hop
bo en,experimental pop
"Fat Joe, Remy Ma & Jay Z Featuring French Montana & Infared",bronx hip hop
Bad Meets Evil,rap
G-Eazy x Bebe Rexha,pop
Kendrick Lamar Featuring U2,conscious hip hop
No Bros,austrian metal
Cashmere Cat Featuring Ariana Grande,pop
Maejor Ali Featuring Juicy J & Justin Bieber,detroit hip hop
Swedish House Mafia Featuring John Martin,edm
Scandinavian Metal Praise,christian metal
Ed Sheeran Featuring Chance The Rapper & PnB Rock,pop
Lupe Fiasco Featuring MDMA,rap
6LACK,r&b
Post Malone Featuring Nicki Minaj,rap
"Layton Greene, Lil Baby, City Girls & PnB Rock",rap
Astronoid,blackgaze
blackbear,pop
Kaskade,house
John Coltrane,jazz
KC & The Sunshine Band,disco
Cat's Eyes,chamber psych
Dream Koala,indie dream pop
Shining,avant-garde metal
Ty Dolla $ign Featuring E-40,hip hop
Justin Timberlake Featuring Chris Stapleton,pop
Khalid & Kane Brown,pop
Muse,rock
Carrie Underwood Featuring Ludacris,country
Kings Of Tomorrow,classic house
Los Cadetes De Linares,corridos clasicos
Wang Wen,chinese indie
Nicole Scherzinger Featuring 50 Cent,pop
The Seldom Scene,bluegrass
Kraddy,glitch hop
King Heavy,epic doom
Rank 1,trance
Iggy Pop,rock
Ozuna x Cardi B,latin
Wiz Khalifa,rap
Sam Hunt,contemporary country
Justin Bieber + BloodPop,pop
Duke Ellington,jazz
Taylor Swift Featuring The Civil Wars,pop
Urban Blight,canadian hardcore
Mal Blum,anti-folk
Ariana Grande Featuring Big Sean,pop
Riley Green,contemporary country
Cardi B Featuring Migos,pop
Childish Gambino,atl hip hop
Nanahira,denpa-kei
Anorexia Nervosa,black metal
Mortification,australian thrash metal
Runaway June,contemporary country
La Adictiva Banda San José de Mesillas,banda
Thorium,danish death metal
The Chainsmokers Featuring Halsey,pop
Post Malone Featuring 21 Savage,rap
Drake Featuring Majid Jordan,canadian hip hop
Ricky Skaggs,bluegrass
Colbie Caillat,pop
Ever So Blue,background piano
Cardi B Featuring 21 Savage,pop
David Lynch,dark ambient
Nego do Borel,funk carioca
Intervals,djent
Wasted Youth,california hardcore
Linkin Park,alternative metal
Chance The Rapper Featuring Lil Wayne & 2 Chainz,rap
Natti Natasha x Ozuna,latin
Lil Jon & The East Side Boyz,atl hip hop
"YG Featuring Tyga, Snoop Dogg & Nipsey Hussle",rap
Jamie Foxx Featuring Chris Brown,contemporary r&b
Sheck Wes,trap
Anirudh Ravichander,desi hip hop
Koh Lantana,atmosphere
Glee Cast Featuring Gwyneth Paltrow,glee club
Chance The Rapper Featuring MadeinTYO & DaBaby,rap
Rob $tone Featuring J. Davi$ & Spooks,san diego rap
"Ariana Grande, Miley Cyrus & Lana Del Rey",pop
Nicki Minaj Featuring Rihanna,pop
Regina Mira,background music
Rihanna Featuring Mikky Ekko,pop
Ultra Vomit,french rock
Miguel,pop
Howard Shore,soundtrack
"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",rap
Hideki Naganuma,japanese vgm
James Bay,modern rock
Novo Amor,ambient folk
Los Tigres Del Norte,musica mexicana
Kodak Black Featuring Lil Wayne,rap
Rihanna,pop
Flavien Berger,electronica
Aurelio Voltaire,comic
Bill Monroe & His Blue Grass Boys,appalachian folk
The JaneDear Girls,country
Zach Sobiech,
Holger Czukay,art rock
Lauren Alaina,country
The Black Keys,rock
School Of Seven Bells,chillwave
The New Black,german hard rock
Sturgill Simpson,alternative americana
Culture Code,filthstep
My Chemical Romance,rock
Claustrofobia,brazilian death metal
Lloyd Banks Featuring Juelz Santana,rap
Casanovas,dansband
Flughand,chillhop
Joby Talbot,21st century classical
Kasabian,rock
Michael Jackson & Justin Timberlake,pop
Illingsworth,abstract beats
Yma Sumac,exotica
The Jesus and Mary Chain,rock
Arve Henriksen,contemporary jazz
Lil Xan,emo rap
Fuse ODG,afro dancehall
Mary Lambert,neo mellow
Rupert Gregson-Williams,soundtrack
Linkin Park X Steve Aoki,alternative metal
Vitor Munhoz,dark disco
"Sofi Tukker Featuring NERVO, The Knocks & Alisa Ueno",edm
Hiphop Tamizha,desi hip hop
Alela Diane,indie folk
Caleb Belkin,chillhop
Procession,chilean metal
Orianthi,candy pop
Alicia Keys Featuring Miguel,pop
Kali Uchis,pop
Eminem Featuring Nate Ruess,detroit hip hop
Lil Uzi Vert,rap
Bonnie McKee,candy pop
[dunkelbunt],balkan beats
Dev Featuring The Cataracs,dance pop
Young Thug Featuring Machine Gun Kelly,rap
Biscaya,gothenburg metal
Ester Dean Featuring Chris Brown,
Post Malone Featuring Meek Mill & Lil Baby,rap
Deathstars,metal
Danger Radio,alternative pop rock
Tyga Featuring Lil Wayne,dance pop
Matt Nathanson,acoustic pop
DJ Shog,bubble trance
The Cats,classic uk pop
Brothers Osborne,country
Jay-Z + Alicia Keys,east coast hip hop
Calvin Harris Featuring Rihanna,pop
Enrique Iglesias With Usher Featuring Lil Wayne,pop
Chris Young Duet With Cassadee Pope,country
Nelly Featuring Keri Hilson,rap
Luciferion,death metal
TV Girl,indie pop
Fabolous,dance pop
Kip Moore,country
Drake Featuring Jorja Smith & Black Coffee,canadian hip hop
Habstrakt,bass house
MitiS,edm
Michael Nyman,bow pop
Young Thug Featuring Gunna,rap
David Guetta Featuring Sia,pop
Jimmy Fallon Featuring will.i.am,comedy
"Kanye West Featuring Theophilus London, Allan Kingdom & Paul McCartney",rap
Nina Miller,ballet class
Imperius Profanus,brazilian black metal
Dreezy Featuring Jeremih,r&b
Eminem Featuring Lil Wayne,detroit hip hop
"Royce Da 5'9""",alternative hip hop
John Butler Trio,australian rock
Calvin Harris Featuring Ellie Goulding,pop
Glen Campbell,adult standards
Harley Poe,acoustic punk
Spose,comic
Wande Coal,afro dancehall
Nuit Noire,
Owl City,indietronica
The Chainsmokers & Illenium Featuring Lennon Stella,pop
Summoning,atmospheric black metal
Goldmund,ambient
Marc Anthony,latin
Gorguts,brutal death metal
"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",pop
Haus of Panda,canadian electronic
Kidnap,future garage
DNCE,pop
Artists For Haiti,musical advocacy
Rayvanny,azontobeats
Apocryphal,french death metal
Tiamat,doom metal
The Covasettes,english indie rock
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",east coast hip hop
Keith Urban Featuring Eric Church,country
The Barden Bellas,a cappella
Passenger,pop
Little Dragon,alternative dance
Bloodbath,metal
Frau Doktor,euroska
Sam Manning,calypso
Machinae Supremacy,bitpop
A L E X,lo-fi beats
Boys Like Girls Featuring Taylor Swift,neo mellow
Northlane,metalcore
Drake,canadian hip hop
Ghusa,french death metal
Klone,french metal
Migos Featuring Drake,atl hip hop
X Ambassadors,rock
will.i.am & Britney Spears,pop
Brantley Gilbert Featuring Justin Moore & Thomas Rhett,country
Beach House,baltimore indie
Cole Swindell,country
Tomasz Bednarczyk,ambient
Gallery-81,chicago pop punk
Flume,australian dance
Mario,pop
Dua Lipa,pop
Old Dominion,country
Calvin Harris & Dua Lipa,pop
John Henriksson,background music
Manchester Orchestra,indie rock
"Nicki Minaj, Drake & Lil Wayne",pop
Afterlife,chill lounge
Tyler Farr,country
Ariana Grande & Social House,pop
The Taxpayers,anti-folk
PnB Rock,rap
Bon Jovi,glam metal
Bugge Wesseltoft,dark jazz
The Sura Quintet,chill lounge
Screamfeeder,australian alternative rock
Hank Jones,jazz
Gary Allan,country
Cam,country
The Black Eyed Peas X J Balvin,pop
Children Of Bodom,metal
Calling from afar,chinese metal
A$AP Rocky,east coast hip hop
Echo & the Bunnymen,rock
The Black,
Nick Murphy / Chet Faker,art pop
"DJ Khaled Featuring Meek Mill, J Balvin, Lil Baby & Jeremih",pop
Lil Baby & DaBaby,north carolina hip hop
DJ Spinall,afro dancehall
Konane,kawaii future bass
McKinley Mitchell,chicago soul
"DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne",pop
Florian Ostertag,german indie folk
Nicky Jam,latin
Traitor,german thrash metal
Cajmere,chicago house
Roger Eno,ambient
Earl Hooker,blues
Max Frost,austindie
Good Morning,experimental pop
Eric Church Featuring Rhiannon Giddens,country
Florida Georgia Line Featuring Tim McGraw,country
Jamie xx,electronica
Blue Sky Black Death,abstract hip hop
Carly Rae Jepsen,pop
Sean Downey,vaporwave
Ayatollah,abstract beats
Drake Featuring PARTYNEXTDOOR,canadian hip hop
Jan Garbarek,classical saxophone
Jason Derulo Featuring 2 Chainz,pop
Elskavon,ambient worship
Dirt Rock Empire,country rap
Usher Featuring Rick Ross,atl hip hop
Cassadee Pope,contemporary country
Sidsel Endresen,dark jazz
Leo,comic metal
Tech N9Ne Featuring 2 Chainz & B.o.B,hip hop
The Lumineers,pop
Sukhbir,bhangra
Bryce Janey,electric blues
Brandy Featuring Chris Brown,pop
benny blanco & Juice WRLD Featuring Brendon Urie,pop
"ScHoolboy Q, 2 Chainz & Saudi",rap
Evil Activities,gabba
Morgan Evans,australian country
Alexandra Stan,dance pop
Eddie Meduza,classic swedish pop
Clean Bandit Featuring Sean Paul & Anne-Marie,dance pop
Josh Kelley,acoustic pop
Objekt,future garage
My Darkest Days Featuring Zakk Wylde,alternative metal
DJ Deeon,ghettotech
Odunsi (The Engine),afropop
Steel Panther,metal
Thelonious Monk,jazz
Dub Silence,
Boreal Massif,illbient
OG Maco Featuring 2 Chainz,atl hip hop
Jay Z Kanye West Featuring Frank Ocean,east coast hip hop
Juicy J Featuring Big Sean & Young Jeezy,rap
An-Ten-Nae,downtempo bass
Ellie Goulding X Diplo Featuring Swae Lee,pop
TesseracT,alternative metal
Ty Dolla $ign Featuring Future & Rae Sremmurd,hip hop
Jason Aldean Featuring Miranda Lambert,country
Mors Principium Est,metal
Trippie Redd Featuring DaBaby,rap
Sunidhi Chauhan,desi pop
Protomartyr,chamber psych
Migos Featuring Gucci Mane,atl hip hop
Teodor Wolgers,background music
Suffocation,metal
Oneohtrix Point Never,ambient
Rocko Featuring Future & Rick Ross,rap
Story Of The Year,alternative metal
Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,latin
Stupeflip,chanson humoristique
Justify Rebellion,danish metal
Marshmello & Kane Brown,pop
Sheppard,pop
David Guetta Featuring Ne-Yo & Akon,pop
Einojuhani Rautavaara,classical
Chelsea Grin,metalcore
Jamie Foxx Featuring Justin Timberlake & T .I.,contemporary r&b
Martina McBride,country
Mustard Featuring Roddy Ricch,rap
Diljit Dosanjh,desi pop
The Riot Before,folk punk
Jake Xerxes Fussell,alternative americana
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,pop
Joeboy,nigerian pop
Johann Sebastian Bach,baroque
SOB X RBE,trap
Kumar Sanu,classic bollywood
A-Trak + Milo & Otis Featuring Rich Kidz,canadian electronic
Flo Rida & 99 Percent,pop
The Kooks,rock
Move D,deep house
VCTRE,experimental bass
Julee Cruise,art pop
Memoriam,birmingham metal
Reks,alternative hip hop
Nipsey Hussle Featuring Kendrick Lamar,conscious hip hop
Spirits Of Our Dreams,atmosphere
The Swellers,alternative emo
Khalid Featuring A Boogie Wit da Hoodie,pop
Kraak & Smaak,bboy
Bethlehem,black metal
Maddie & Tae,country
The Landers,desi hip hop
Wild Front,english indie rock
Wolfpack,neo-crust
Angerfist,gabba
Nate Ruess,modern rock
Onkel Tom,
Migos Featuring Travis Scott,atl hip hop
Ariana Grande Featuring Iggy Azalea,pop
Florida Georgia Line Featuring Luke Bryan,country
Die Apokalyptischen Reiter,folk metal
Dr. Sounds,atmosphere
T.I. Featuring Lil Wayne,rap
Steven Price,soundtrack
Ollie Macfarlane,chillstep
Rickyxsan,bass trap
"The Barden Bellas, The Treblemakers & The BU Harmonics",a cappella
Gesaffelstein & The Weeknd,dark clubbing
Dan Andriano in the Emergency Room,acoustic rock
Fabolous Featuring Chris Brown,pop
Shatta Wale,afro dancehall
Kaitlyn Aurelia Smith,ambient
Bad Bunny,latin
Ylvis,comic
Vertical Worship,worship
Black Crucifixion,finnish black metal
A Great Big World & Christina Aguilera,modern rock
Joep Beving,compositional ambient
AceMo,experimental techno
Elf Power,athens indie
Lucy Hale,post-teen pop
Tides Of Man,dreamo
Sunrise Avenue,finnish pop
NAV Featuring Lil Uzi Vert,trap
One Direction,pop
Los Alegres de la Sierra,chilena
ill-esha,glitch
M. Geddes Gengras,abstractro
Wizex,classic swedish pop
Selena Gomez Featuring Gucci Mane,pop
Travis Scott Featuring Lil Uzi Vert & Kanye West,east coast hip hop
Gare Du Nord,dutch pop
Kesha Featuring The Dap-Kings Horns,pop
KYLE Featuring Lil Yachty,pop
Summer Walker & Usher,pop
Valesca Popozuda,funk carioca
Lana Del Rey & Cedric Gervais,pop
Gucci Mane X Bruno Mars X Kodak Black,rap
Three Drives On A Vinyl,trance
Massacration,brazilian metal
Slapstick,chicago punk
Pitbull Featuring Ke$ha,pop
Thy Art Is Murder,metalcore
Gonzalo Rubalcaba,jazz cubano
Kid Francescoli,electronica
Lil Pump,rap
Tangled Thoughts of Leaving,australian post-rock
Taylor Swift Featuring Ed Sheeran,pop
Shakira Featuring Rihanna,pop
BABYMETAL,comic metal
Pulp,rock
Emancipator,downtempo
Mitchell Tenpenny,contemporary country
Rihanna Featuring Future,pop
DLOW,chicago bop
Benighted,brutal death metal
Blood Orange,alternative r&b
"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",pop
T-Wayne,houston rap
Future Featuring The Weeknd,atl hip hop
Ripcordz,canadian punk
Isla Vista Worship,anthem worship
Béla Fleck,bluegrass
"Internet Money, Lil Tecca & A Boogie Wit da Hoodie",rap
Daddy Yankee & Katy Perry Featuring Snow,latin
Subvert,glitch hop
Lars Graugaard,danish contemporary classical
Watered,german post-rock
Quavo Featuring Drake,atl hip hop
Cabaret Nocturne,belgian techno
Benjamin Wallfisch,soundtrack
Chris Young,country
KONGOS,modern alternative rock
The Assist,birmingham indie
Audiomachine,
La Femme,french indie pop
Starboy,nigerian pop
B.o.B Featuring Lil Wayne,pop
Jay Sean Featuring Nicki Minaj,dance pop
August Alsina,pop r&b
Benny Benassi,edm
Jay Sean Featuring Sean Paul & Lil Jon,dance pop
B.o.B Featuring Rivers Cuomo,pop
Sarke,"""black n roll"""
Gene Autry,adult standards
Girl Unit,footwork
Black Light Smoke,dark disco
Veil Of Maya,deathcore
The Essex Green,elephant 6
N*E*R*D & Rihanna,hip hop
Ariana Grande Featuring Nicki Minaj,pop
Wale Featuring Kid Cudi,rap
A$AP Rocky Featuring Skrillex,east coast hip hop
Zara Larsson & MNEK,pop
Katy Tiz,
Wolfgang Mitterer,21st century classical
Stereophonics,rock
"Game Featuring Lil Wayne & Tyler, The Creator",rap
Sarah Jeffery,social media pop
Jason Aldean With Kelly Clarkson,country
Justin Bieber Featuring Chance The Rapper,pop
"Marshmello, Tyga & Chris Brown",pop
Young Thug Featuring Future,rap
The Accüsed,comic metal
The Dirty Heads Featuring Rome,reggae fusion
Skarra Mucci,french reggae
Trifonic,chillstep
Skrillex & Diplo With Justin Bieber,edm
"Tyler, The Creator",hip hop
Godsmack,alternative metal
Le Youth,house
Dia Frampton,
Sia Featuring Kendrick Lamar,australian dance
Kygo Featuring Miguel,pop
"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",pop
Martin Garrix,pop
The Ready Set,neon pop punk
Rick Wade,deep house
Zayn / Taylor Swift,pop
Charli XCX,pop
Mike Posner Featuring Lil Wayne,pop
My Morning Jacket,rock
Macklemore Featuring Kesha,pop rap
Steven C,classify
Shadow of Intent,melodic deathcore
Iannis Xenakis,acousmatic
Mexico City Atmospheres,atmosphere
Kelly Rowland Featuring Lil Wayne,pop
Ed Sheeran & Justin Bieber,pop
Karmin,dance pop
Zeal & Ardor,avant-garde metal
Drake Featuring The Weeknd,canadian hip hop
Rihanna Featuring Britney Spears,pop
Ben Webster,jazz
Famous Dex,rap
Rihanna & Kanye West & Paul McCartney,pop
King Promise,afro dancehall
Beyonce Featuring James Blake,pop
Darkthrone,metal
Blazing Row,belgian metal
MKTO,pop
Jordan Davis,contemporary country
Deafheaven,atmospheric black metal
Steve Petrunak,acoustic guitar cover
DJ Taye,footwork
Sara Bareilles,pop
City Girls Featuring Cardi B,pop
Waka Flocka Flame Featuring Roscoe Dash & Wale,rap
Cute Is What We Aim For,neon pop punk
Abandoned By Light,british black metal
Rihanna Featuring David Guetta,pop
Sergio Díaz De Rojas,compositional ambient
Max Richter,compositional ambient
Métal Urbain,early french punk
Queen,rock
FX Sleep Creator,asmr
Michael Learns To Rock,boy band
Bobby Timmons,jazz
Shawn Mendes X Zedd,pop
Maren Morris,country
Steven Tyler,modern country rock
Glee Cast Featuring Jonathan Groff,glee club
Jenny Lewis,indie pop
Timbaland Featuring Katy Perry,pop
Arkaea,cyber metal
Caribou,alternative dance
Drake Featuring Future,canadian hip hop
Carolina Chocolate Drops,banjo
Patrick Doyle,soundtrack
Mr. Bill,deep psytrance
Primal Fear,metal
Mindful Behaviour,asmr
The Bahama Soul Club,bboy
Mr. Probz,dutch hip hop
Ayo & Teo,social media pop
Bobo Stenson Trio,jazz
Katy Perry Featuring Nicki Minaj,pop
Kirko Bangz,rap
Bugseed,abstract beats
Phos Toni,electro swing
Gyptian,conscious hip hop
Judas Priest,metal
Zac Efron & Zendaya,hollywood
Rag'n'Bone Man,neo soul
Varien,edm
Rasmus Gozzi,danspunk
Meek Mill Featuring Tory Lanez,rap
Billy Currington,country
Post Malone Featuring Ozzy Osbourne & Travis Scott,rap
The Weeknd Featuring Gesaffelstein,canadian contemporary r&b
Pitbull Featuring G.R.L.,pop
Young Thug Featuring Lil Baby,rap
YFN Lucci Featuring Migos & Trouble,arkansas hip hop
Shreya Ghoshal,desi pop
秋元薫,classic city pop
Destiny Potato,djent
Terje Rypdal,contemporary jazz
3OH!3 Featuring Ke$ha,pop
Cody Johnson,contemporary country
Lisa Lisa & Cult Jam,freestyle
The Polynesians,exotica
Tomppabeats,chillhop
Drake Featuring Kanye West,canadian hip hop
Summer Walker X Drake,pop
Razorlight,rock
Vincent de Moor,trance
Upon A Burning Body,metalcore
Factory Floor,deep gothic post-punk
Russ & BIA,hawaiian hip hop
Lil Yachty,atl hip hop
Tycho,chillwave
Eric Dolphy,jazz
Bobby Brackins Featuring Ray J,cali rap
Lil Jon Featuring Tyga,atl hip hop
Mary J. Blige Featuring Drake,dance pop
Area 42,deep chill
Track Circuit,asmr
Technohead,gabba
Post Malone Featuring Swae Lee,rap
Morbid Angel,metal
Perfume Genius,art pop
Paul Bley,jazz
Camila Cabello,pop
Iggy Azalea Featuring M0,pop
36,ambient
Neon Trees,rock
Visions of Atlantis,austrian metal
Luke Bryan Featuring Karen Fairchild,country
Lil Wyte,country rap
Summer Walker Featuring Jhene Aiko,pop
G-Eazy Featuring Remo,pop
Jennifer Lopez Featuring Pitbull,pop
Rise Against,punk
Steve Hauschildt,ambient
Rascal Flatts Featuring Natasha Bedingfield,country
The Anix,cyberpunk
Le Prince Miiaou,french indie pop
Future & Young Thug Featuring Offset,atl hip hop
The Weeknd Featuring Ed Sheeran,canadian contemporary r&b
Muni Yogi,background music
Bloodgood,christian metal
Jeremih Featuring YG,pop
B.o.B Featuring 2 Chainz,pop
R. Kelly Featuring 2 Chainz,
RL Grime,bass trap
Chris Brown Featuring Benny Benassi,pop
Lillywood & Robin Schulz,french indie pop
"""Weird Al"" Yankovic",comedy rock
Los Acosta,grupera
Steve Aoki & Louis Tomlinson,dance pop
Dzihan & Kamien,electro jazz
Echoes Of Yul,atmospheric post-metal
Kuselofte,russelater
YG Featuring Drake,rap
Lauren Duski,contemporary country
Big Sean Featuring Wiz Khalifa,pop
Darcy Baylis,australian electropop
P!nk Featuring Chris Stapleton,pop
Eminem Featuring Joyner Lucas,detroit hip hop
Slaughterhouse Featuring Eminem,hip hop
John Legend,neo soul
Kudasaibeats,lo-fi beats
Cloud Rat,chaotic hardcore
Marcin Wasilewski Trio,jazz
"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",atl hip hop
John Story,calming instrumental
No Return,
Club des Belugas,electro jazz
FLETCHER,pop
Frenship & Emily Warren,electropop
Sheryl Crow,lilith
H.E.R.,r&b
Skrillex Featuring Sirah,brostep
David Guetta Featuring Rihanna,pop
Bastille,metropopolis
"Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne",rap
MAX Featuring gnash,pop
The Chainsmokers Featuring Rozes,pop
FBG Duck,chicago drill
Brooke Candy,pop
will.i.am Featuring Justin Bieber,pop
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",atl hip hop
The Poets Of Rhythm,funk
Hans Zimmer,soundtrack
Driicky Graham,north carolina hip hop
Scientist,reggae
The Carters,pop
Voyager,atmosphere
Scooter,eurodance
Tankard,metal
Fred Mollin,disney piano
Al Atkins,birmingham metal
Bobby Shmurda,rap
Pig Destroyer,american grindcore
Quavo Featuring Lil Baby,atl hip hop
Grimes,pop
Trey Songz Featuring Nicki Minaj,pop
Prince,funk
Archspire,brutal death metal
Eminem,detroit hip hop
Rudimental Featuring Ed Sheeran,dance pop
L'Entourloop,french reggae
Dev,dance pop
Blake Shelton Featuring Trace Adkins,country
"Migos, Nicki Minaj & Cardi B",atl hip hop
Mason Ramsey,country
Luke Bryan,country
Doja Cat,pop
窒息,chinese metal
